number concept activation
0 file 1.8851642e-06
1 medication 7.18429e-07
2 model 2.3352048e-05
3 item 1.831482e-07
4 health_care 7.4986235e-07
5 snack 8.863516e-08
6 player 9.365626e-06
7 Musical_Instrument 4.3420823e-07
8 fighter 5.294107e-05
9 bait 3.513891e-10
10 term 2.7805922e-06
11 protein 4.727818e-06
12 suspect 0.0003051999
13 lesion 6.7754246e-07
14 poet 0.0005346949
15 position 4.8803095e-06
16 department 7.95512e-06
17 industry 5.2272362e-08
18 woman 0.0009075315
19 study 0.0008048598
20 treatment 3.109359e-07
21 factor 6.7112516e-08
22 title 2.7315862e-05
23 team 0.00025311726
24 text 5.791985e-05
25 group 6.5857143e-06
26 database 4.9317372e-05
27 provider 3.3861818e-06
28 author 0.00011946864
29 authority 0.0017759849
30 name 1.8675047e-06
31 location 0.0011456978
32 plant 2.1267336e-07
33 offer 3.6002785e-08
34 emotion 4.5606202e-10
35 celebrity 1.6158107e-05
36 game 1.0126698e-05
37 large_scale 0.003832438
38 part 1.0111402e-06
39 firm 2.7748923e-05
40 scheme 2.6127602e-05
41 document 6.318764e-07
42 material 8.694366e-07
43 expert 6.531212e-05
44 brand 1.5284377e-06
45 choice 3.276496e-06
46 film 4.119841e-05
47 person 0.00012279337
48 master 7.113564e-05
49 horse 1.5793914e-05
50 artist 1.9940046e-05
51 technology 7.766589e-06
52 talent 1.1285699e-05
53 personality 0.00039551334
54 equipment 1.0396571e-07
55 word 1.973948e-07
56 entity 6.831561e-06
57 device 2.3837602e-07
58 activity 6.8208106e-09
59 individual 7.5483935e-05
60 event 2.262162e-05
61 investigation 4.8961512e-05
62 bacterium 3.1421123e-08
63 variation 2.6585285e-06
64 specie 2.2610903e-08
65 company 1.8851354e-06
66 star 9.541661e-06
67 section 5.1540082e-06
68 pathology 6.847157e-08
69 staple 2.685952e-07
70 community 0.00020890759
71 hit 8.389598e-07
72 opportunity 1.2529865e-05
73 student 3.863254e-05
74 act 4.4752287e-05
75 adjective 3.5723437e-07
76 Historic_Site 0.0003409126
77 supplier 2.1789506e-06
78 service 1.2717529e-08
79 town 0.010348272
80 pattern 1.6312345e-07
81 dessert 1.069874e-08
82 academic 0.0017546162
83 village 0.00031791406
84 shop 1.244594e-05
85 district 0.0038283097
86 work 1.5875625e-05
87 beach 5.6611834e-06
88 destination 0.0013085459
89 attraction 6.559706e-05
90 doctrine 1.4131115e-06
91 infectious_disease 7.1935325e-08
92 competitor 3.6535769e-06
93 variety 2.5611218e-05
94 book 5.820863e-06
95 man 0.00032656867
96 champion 0.00012633283
97 story 7.194174e-06
98 pest 6.01041e-08
99 ecosystem 1.0803015e-07
100 researcher 0.00010336289
101 deal 1.4008101e-06
102 innovation 1.1511711e-05
103 song 9.62552e-07
104 festival 0.014712348
105 building 0.0020006257
106 locality 0.0010293665
107 chapter 2.647593e-07
108 critic 0.0018786392
109 classic 1.8572353e-05
110 professional 4.802274e-08
111 reference 3.4764333e-05
112 favorite 4.6676462e-07
113 outfit 4.7408612e-05
114 chain 2.1552644e-06
115 participant 6.9381495e-05
116 symptom 6.840369e-08
117 class 1.9020212e-05
118 retailer 2.993471e-05
119 municipality 0.007468599
120 test 1.0262448e-06
121 offense 2.2608798e-07
122 band 5.895776e-05
123 region 0.0003582561
124 ingredient 4.3398733e-09
125 port 0.0020610255
126 style 2.5624313e-05
127 vendor 4.8160196e-06
128 site 2.3991479e-05
129 population 1.6554807e-06
130 sauce 1.9541615e-09
131 newspaper 0.00044220497
132 field 6.2003173e-06
133 performer 3.5809842e-06
134 organism 1.14128255e-07
135 scene 7.648779e-05
136 school 5.670655e-05
137 prescription_drug 1.8190736e-08
138 development 0.0004367709
139 label 9.819702e-05
140 complication 1.3226439e-07
141 mineral 1.3637133e-07
142 website 4.869473e-07
143 hazard 1.4570938e-07
144 keyword 4.64882e-06
145 manufacturer 1.5902127e-05
146 neighborhood 0.0010555962
147 character 1.1566054e-06
148 candidate 0.0005821688
149 course 1.536842e-05
150 dish 1.9019807e-07
151 tool 7.01309e-08
152 member 8.797857e-05
153 sector 2.3244526e-08
154 condition 5.0608957e-08
155 unit 6.168771e-05
156 non_invasive 5.421824e-07
157 great 3.001993e-05
158 apps 1.9894755e-07
159 employer 2.97999e-05
160 line 3.1139458e-05
161 club 0.00022836923
162 latin_american 8.2220475e-05
163 operation 1.2619167e-05
164 observer 7.264032e-05
165 tourist_attraction 0.0065882644
166 incident 0.0004122782
167 movie 9.0021064e-07
168 theater 0.0023673095
169 pitcher 9.619711e-07
170 road 5.6687848e-05
171 filling 8.056612e-10
172 process 4.949185e-07
173 boat 1.2180723e-07
174 opponent 0.00029460806
175 patient 1.9571241e-06
176 city 0.9062732
177 figure 0.00074884784
178 writer 0.00026851895
179 rival 0.00043096073
180 wildlife 5.794145e-10
181 instrument 8.000206e-07
182 decision 2.1253669e-05
183 music 2.5517504e-05
184 party 0.00013514153
185 driver 5.9651547e-06
186 pollutant 2.4627268e-06
187 meal 2.1578794e-07
188 food 5.40512e-09
189 child 1.0502379e-06
190 Organisation 6.437311e-05
191 type 2.5257754e-07
192 fish 3.5167307e-08
193 marker 1.3874701e-05
194 agency 1.3161516e-06
195 disorder 9.90214e-08
196 legislation 6.35881e-06
197 medium_sized 0.0014364921
198 channel 4.764921e-07
199 surgical_procedure 2.604121e-07
200 oil 1.5145096e-09
201 association 2.17845e-06
202 appetizer 1.1102438e-08
203 superstar 0.00014687443
204 recipe 1.2888195e-08
205 friend 8.5698675e-06
206 tactic 1.3564525e-06
207 director 6.4465153e-06
208 agent 4.3012e-06
209 lake 7.0525384e-05
210 side 5.8005753e-07
211 designer 2.923396e-06
212 tradition 8.678919e-06
213 pathway 5.9512223e-07
214 stalwart 0.0009912348
215 medicine 6.693206e-07
216 sign 1.9040907e-06
217 target 3.6471025e-05
218 machine 3.01936e-06
219 Fan_Favorite 1.2271638e-05
220 guy 8.692341e-05
221 musician 0.00026027302
222 format 8.7705685e-06
223 literature 0.0022701651
224 water_soluble 8.0865004e-07
225 hospital 1.1322696e-05
226 carrier 3.299957e-05
227 cut 2.967831e-07
228 athlete 0.00042983677
229 specialist 9.2762053e-07
230 package 1.6698448e-07
231 symbol 2.0809566e-05
232 specialty 5.715604e-08
233 signing 8.341021e-07
234 paper 0.0003211526
235 medium 8.400392e-08
236 bird 4.011086e-09
237 additive 2.0839745e-09
238 hardware 1.4328808e-07
239 sponsor 5.725842e-05
240 genus 9.0321294e-08
241 employee 2.1743424e-06
242 veteran 5.1026775e-05
243 chef 2.9916196e-09
244 bar 1.0380943e-06
245 sound 1.9224024e-06
246 creature 1.477989e-07
247 design 1.32759305e-05
248 celeb 5.9421825e-07
249 magazine 9.224345e-05
250 influence 2.4591852e-06
251 scholar 0.00017543249
252 invasive_procedure 1.3959516e-07
253 tissue 2.4375376e-07
254 analyst 1.5271002e-05
255 customer 2.00694e-06
256 gift 3.11185e-08
257 collection 2.808699e-05
258 intervention 9.340235e-07
259 notable 9.866172e-05
260 hormone 1.83483e-07
261 exception 2.0170797e-05
262 ward 2.2720209e-05
263 offering 9.839912e-07
264 circuit 0.003932005
265 painting 0.00010451388
266 play 4.4496956e-05
267 river 8.895703e-06
268 structure 1.7663078e-05
269 cultivar 2.749642e-06
270 procedure 3.031858e-07
271 animal 2.4663308e-10
272 toy 1.8917465e-08
273 heavyweight 0.00020874193
274 regulation 3.4105599e-06
275 notable_exception 0.0005957547
276 special 4.3895668e-08
277 pro 1.3890676e-06
278 discipline 1.814549e-05
279 language 1.6024351e-06
280 island 2.5547395e-06
281 car 3.6461424e-06
282 drink 1.976397e-07
283 religion 1.6422295e-05
284 trait 3.2295142e-07
285 mental_health 3.2460835e-07
286 beverage 5.7138376e-08
287 orchestra 0.004141914
288 starter 3.6707e-08
289 upgrade 2.2359671e-08
290 account 1.2694171e-05
291 soft_tissue 7.8574494e-08
292 photographer 0.00022333224
293 venue 0.005228923
294 Adverse_Effect 5.1783132e-08
295 province 3.32281e-05
296 publication 6.182239e-05
297 quality 1.1097675e-08
298 vessel 4.720704e-06
299 therapy 1.7071827e-07
300 speaker 0.00043353476
301 polymer 2.5121823e-08
302 flavor 2.1885933e-10
303 chemical 1.0944376e-07
304 shape 2.7816054e-06
305 guest 0.00046585032
306 gene 3.8644666e-05
307 injury 5.7980426e-08
308 combination 6.516496e-07
309 bank 4.3744716e-05
310 accessory 4.4547143e-08
311 airline 7.656965e-06
312 county 0.00032991264
313 competition 0.00023550514
314 actor 3.0498252e-06
315 station 0.0006241713
316 gem 5.1266297e-06
317 image 5.472311e-07
318 luminary 0.00055899756
319 expression 6.6597045e-06
