number concept activation
0 file 0.008477012
1 medication 0.058641385
2 model 0.061701167
3 item -0.021494735
4 health_care 0.035426974
5 snack 0.014743468
6 player -0.029089807
7 Musical_Instrument 0.13262865
8 fighter 0.06591869
9 bait 0.056478295
10 term -0.024180157
11 protein 0.03923892
12 suspect 0.001449762
13 lesion 0.02085103
14 poet 0.05855248
15 position 0.053370804
16 department 0.045228973
17 industry 0.028106164
18 woman 0.006399582
19 study 0.007835172
20 treatment 0.06546012
21 factor -0.0024353305
22 title 0.06536034
23 team 0.01906642
24 text 0.042759784
25 group 0.078589536
26 database 0.06775371
27 provider -0.024979329
28 author 0.042194135
29 authority 0.046445224
30 name 0.02489515
31 location 0.0812021
32 plant -0.027522378
33 offer 0.058049325
34 emotion 0.07875568
35 celebrity 0.022921195
36 game -0.013587744
37 large_scale 0.06978835
38 part 0.07356601
39 firm 0.005311888
40 scheme 0.03389172
41 document 0.055261612
42 material 0.104042545
43 expert 0.032677747
44 brand -0.0064423066
45 choice 0.017187215
46 film 0.1966818
47 person -0.030171499
48 master 0.03112043
49 horse -0.005143605
50 artist 0.11705968
51 technology 0.07802581
52 talent 0.024322962
53 personality -0.036833115
54 equipment -0.001967714
55 word -0.014695869
56 entity -0.023727484
57 device 0.05635023
58 activity -0.0036331883
59 individual 0.09846788
60 event 0.15144476
61 investigation 0.010559106
62 bacterium 0.033952367
63 variation -0.067678906
64 specie -0.009350345
65 company 0.014606265
66 star 0.043218084
67 section 0.020601097
68 pathology 0.0353993
69 staple -0.052023835
70 community 0.036165554
71 hit 0.058747612
72 opportunity 0.006218843
73 student 0.06743797
74 act 0.09543498
75 adjective 0.025611266
76 Historic_Site 0.06812745
77 supplier -0.014091368
78 service -0.022646155
79 town 0.096907005
80 pattern -0.023862863
81 dessert 0.029513266
82 academic 0.037552882
83 village 0.10718261
84 shop -0.0049252505
85 district 0.029862836
86 work 0.06895529
87 beach 0.0034655894
88 destination 0.034629487
89 attraction 0.077935755
90 doctrine 0.011091123
91 infectious_disease 0.06511343
92 competitor 0.03643067
93 variety -0.03579376
94 book 0.078484274
95 man 0.00031623995
96 champion 0.0446316
97 story 0.05156221
98 pest -0.041589517
99 ecosystem -0.018935105
100 researcher 0.0343471
101 deal 0.023649806
102 innovation 0.04511434
103 song 0.0410463
104 festival 0.16877109
105 building 0.104826644
106 locality 0.00508103
107 chapter -0.061274607
108 critic 0.039297953
109 classic 0.058768883
110 professional -0.00014666002
111 reference 0.041521452
112 favorite -0.028623207
113 outfit -0.014859039
114 chain 0.0014901722
115 participant 0.033044778
116 symptom 0.030145997
117 class 0.017076878
118 retailer 0.04290113
119 municipality 0.10102642
120 test 0.03531175
121 offense 0.010581428
122 band 0.0715183
123 region 0.04878693
124 ingredient -0.014337901
125 port -0.012628225
126 style 0.026899632
127 vendor -0.04051921
128 site 0.07523581
129 population 0.0450076
130 sauce -0.046249114
131 newspaper 0.058805514
132 field 0.07152288
133 performer 0.03948091
134 organism 0.055721156
135 scene 0.11727115
136 school 0.033503767
137 prescription_drug 0.05358402
138 development -0.030797763
139 label 0.06020829
140 complication -0.027381858
141 mineral 0.0020542082
142 website 0.013013
143 hazard -0.04616771
144 keyword -0.037915338
145 manufacturer 0.043131873
146 neighborhood 0.11013392
147 character -0.025594132
148 candidate 0.00097217475
149 course 0.075460866
150 dish -0.091932185
151 tool -0.006562554
152 member -0.0012163526
153 sector -0.017720763
154 condition 0.021813277
155 unit 0.016034711
156 non_invasive 0.047659613
157 great 0.03403938
158 apps 0.024417114
159 employer -0.017542101
160 line 0.036285378
161 club 0.047753986
162 latin_american 0.11743735
163 operation 0.022304567
164 observer 0.00897525
165 tourist_attraction 0.03575964
166 incident 0.023381963
167 movie 0.12321347
168 theater 0.13838652
169 pitcher 0.056576215
170 road 0.0024907482
171 filling -0.017063176
172 process -0.0054115923
173 boat -0.034875467
174 opponent 0.016095566
175 patient 0.003993647
176 city 0.19043769
177 figure 0.051558573
178 writer 0.07282885
179 rival 0.06865393
180 wildlife 0.026815906
181 instrument 0.005858216
182 decision 0.086975224
183 music 0.13109846
184 party 0.04470002
185 driver -0.0003671526
186 pollutant -0.015798694
187 meal 0.005991064
188 food 0.07469738
189 child 0.011731852
190 Organisation 0.085919425
191 type -0.06317657
