number concept activation
0 file 6.7772667e-06
1 medication 4.4091918e-05
2 model 1.4161689e-05
3 item 1.462512e-05
4 health_care 6.0173414e-05
5 snack 3.2442665e-07
6 player 4.150753e-06
7 Musical_Instrument 7.775823e-06
8 fighter 1.0586158e-05
9 bait 6.383825e-06
10 term 0.00047850088
11 protein 1.8227241e-06
12 suspect 0.0003131208
13 lesion 0.00012610633
14 poet 1.2269661e-05
15 position 6.643362e-07
16 department 1.4660984e-07
17 industry 1.2874747e-07
18 woman 9.256331e-05
19 study 9.449637e-06
20 treatment 8.545375e-05
21 factor 0.0013916953
22 title 0.0009975063
23 team 1.8966397e-05
24 text 0.00014862107
25 group 5.7511447e-06
26 database 7.1778636e-06
27 provider 5.302944e-07
28 author 1.71849e-05
29 authority 2.2440449e-07
30 name 0.0006838597
31 location 7.6516926e-07
32 plant 1.9461339e-05
33 offer 6.077861e-07
34 emotion 0.12066205
35 celebrity 9.327927e-05
36 game 0.0002441581
37 large_scale 0.00041390653
38 part 3.045182e-07
39 firm 5.8271336e-08
40 scheme 1.3581976e-06
41 document 1.6671444e-07
42 material 8.155135e-08
43 expert 0.00015587844
44 brand 2.023676e-06
45 choice 3.8824077e-05
46 film 0.0023666439
47 person 5.3961405e-05
48 master 3.765515e-05
49 horse 8.3840794e-05
50 artist 0.00015801271
51 technology 1.7365674e-06
52 talent 0.00029962207
53 personality 1.3700685e-06
54 equipment 4.130003e-06
55 word 0.0021459197
56 entity 3.2987912e-06
57 device 8.0022955e-06
58 activity 1.0856543e-05
59 individual 3.8596452e-05
60 event 2.6759097e-05
61 investigation 2.0448595e-05
62 bacterium 1.2500373e-05
63 variation 0.0002988404
64 specie 1.28845e-07
65 company 4.9602886e-07
66 star 2.3088776e-05
67 section 0.00030216022
68 pathology 6.8310794e-05
69 staple 1.9891029e-06
70 community 6.5866425e-07
71 hit 0.00087705784
72 opportunity 5.6483586e-06
73 student 4.3742628e-05
74 act 0.002704563
75 adjective 1.8323959e-05
76 Historic_Site 2.5017064e-07
77 supplier 1.4836677e-06
78 service 6.4338324e-06
79 town 2.4137025e-06
80 pattern 0.00023285107
81 dessert 1.5518231e-06
82 academic 3.8921394e-06
83 village 4.6808591e-07
84 shop 0.00010329834
85 district 1.0796753e-07
86 work 0.0009029619
87 beach 3.1798152e-07
88 destination 7.8603404e-07
89 attraction 4.523425e-07
90 doctrine 0.0007545412
91 infectious_disease 8.623699e-06
92 competitor 6.7594056e-07
93 variety 5.0697695e-06
94 book 0.0003174189
95 man 2.6694452e-06
96 champion 1.5470501e-06
97 story 0.002448718
98 pest 0.00010907629
99 ecosystem 1.217371e-07
100 researcher 4.165735e-06
101 deal 8.614021e-07
102 innovation 9.895248e-06
103 song 0.047419894
104 festival 2.366047e-06
105 building 1.1342969e-07
106 locality 1.676892e-06
107 chapter 0.0012106841
108 critic 1.3378024e-05
109 classic 0.00044542475
110 professional 6.177005e-06
111 reference 5.3283507e-05
112 favorite 8.4054755e-06
113 outfit 4.6831997e-06
114 chain 3.784809e-07
115 participant 2.4366805e-06
116 symptom 0.0117405
117 class 1.785869e-05
118 retailer 1.4089034e-07
119 municipality 2.5199423e-08
120 test 8.8788e-05
121 offense 0.0068109534
122 band 0.014599979
123 region 1.4236282e-07
124 ingredient 1.6232305e-05
125 port 2.1805995e-08
126 style 1.755041e-05
127 vendor 3.358132e-05
128 site 2.74672e-06
129 population 1.0641851e-05
130 sauce 3.897232e-07
131 newspaper 6.389883e-07
132 field 3.2117972e-05
133 performer 1.3438763e-05
134 organism 3.858843e-05
135 scene 0.0007778629
136 school 3.879621e-07
137 prescription_drug 0.00010048828
138 development 2.0731622e-05
139 label 0.00018633464
140 complication 0.00023181878
141 mineral 9.912364e-08
142 website 4.6449377e-06
143 hazard 8.202696e-05
144 keyword 3.1007356e-05
145 manufacturer 1.8931189e-07
146 neighborhood 7.010441e-08
147 character 0.000138177
148 candidate 1.9407518e-05
149 course 3.428169e-06
150 dish 9.026305e-07
151 tool 0.000109905275
152 member 1.4156571e-05
153 sector 1.4135596e-08
154 condition 0.0021048917
155 unit 1.930529e-07
156 non_invasive 9.790708e-05
157 great 4.723419e-05
158 apps 4.2877506e-05
159 employer 6.4810145e-08
160 line 0.00070777786
161 club 2.3833016e-05
162 latin_american 8.334085e-06
163 operation 4.874432e-05
164 observer 4.214063e-06
165 tourist_attraction 7.129646e-08
166 incident 0.0013306722
167 movie 0.001305945
168 theater 7.9978406e-07
169 pitcher 1.1305671e-06
170 road 8.8390495e-09
171 filling 1.0143854e-06
172 process 0.00028255972
173 boat 1.1046484e-05
174 opponent 2.938479e-06
175 patient 3.270473e-05
176 city 4.638633e-08
177 figure 5.3216513e-06
178 writer 2.4762452e-05
179 rival 2.0585908e-06
180 wildlife 8.89393e-06
181 instrument 4.6882098e-05
182 decision 1.974322e-05
183 music 0.00016707186
184 party 1.255312e-06
185 driver 2.6498158e-06
186 pollutant 0.00074653927
187 meal 4.7478156e-07
188 food 1.13285505e-05
189 child 0.0017795576
190 Organisation 2.1745416e-06
191 type 6.2581166e-05
192 fish 8.578499e-07
193 marker 2.0554073e-05
194 agency 1.2267336e-08
195 disorder 0.015651656
196 legislation 2.0042327e-05
197 medium_sized 1.5115733e-06
198 channel 1.2830003e-06
199 surgical_procedure 3.8686701e-07
200 oil 4.543746e-07
201 association 5.1102008e-05
202 appetizer 2.3204136e-07
203 superstar 0.00015659978
204 recipe 1.052651e-05
205 friend 0.000815783
206 tactic 0.00024293942
207 director 5.7137026e-06
208 agent 8.2434207e-07
209 lake 4.3241002e-06
210 side 7.5777365e-07
211 designer 3.9152055e-06
212 tradition 3.775126e-05
213 pathway 6.84446e-05
214 stalwart 5.291404e-06
215 medicine 3.3846384e-06
216 sign 0.010718039
217 target 2.8768357e-06
218 machine 2.3656166e-05
219 Fan_Favorite 0.00031298262
220 guy 3.7493082e-05
221 musician 6.984859e-05
222 format 4.556896e-06
223 literature 3.4107303e-05
224 water_soluble 6.1962564e-06
225 hospital 1.2342156e-08
226 carrier 1.963342e-06
227 cut 5.7469028e-05
228 athlete 1.1824395e-07
229 specialist 0.00016732025
230 package 8.102541e-06
231 symbol 2.045872e-05
232 specialty 7.8649526e-07
233 signing 8.2430677e-07
234 paper 7.777263e-05
235 medium 3.073574e-05
236 bird 4.3894207e-07
237 additive 3.1539134e-06
238 hardware 1.8836226e-07
239 sponsor 1.2227597e-06
240 genus 4.8388538e-05
241 employee 1.6939126e-05
242 veteran 1.6286589e-06
243 chef 4.2316497e-09
244 bar 1.0250992e-05
245 sound 1.818334e-05
246 creature 0.00068383786
247 design 3.561371e-06
248 celeb 5.222227e-06
249 magazine 0.00017385336
250 influence 0.00023470735
251 scholar 2.3819882e-06
252 invasive_procedure 2.4146973e-06
253 tissue 1.8960445e-05
254 analyst 1.4196155e-05
255 customer 5.2052123e-06
256 gift 4.254429e-05
257 collection 1.2667904e-05
258 intervention 5.6851553e-07
259 notable 3.1818417e-05
260 hormone 2.3230106e-05
261 exception 5.7783585e-05
262 ward 1.3563517e-06
263 offering 8.510352e-07
264 circuit 1.8890459e-08
265 painting 0.00085738546
266 play 0.0061408794
267 river 8.210389e-06
268 structure 3.2113128e-06
269 cultivar 6.5675695e-06
270 procedure 7.735779e-06
271 animal 7.411977e-08
272 toy 1.1989176e-05
273 heavyweight 1.5027572e-05
274 regulation 7.833273e-07
275 notable_exception 4.4651813e-05
276 special 1.1008655e-06
277 pro 2.3833607e-06
278 discipline 1.6845435e-05
279 language 2.960527e-07
280 island 7.455335e-08
281 car 2.225935e-06
282 drink 3.8973234e-05
283 religion 1.6379237e-05
284 trait 0.01198274
285 mental_health 0.006376053
286 beverage 1.542217e-05
287 orchestra 1.4214653e-08
288 starter 1.0042952e-07
289 upgrade 2.6092746e-06
290 account 1.8515831e-06
291 soft_tissue 0.0002456169
292 photographer 5.8654257e-07
293 venue 1.508047e-06
294 Adverse_Effect 0.0008604836
295 province 4.8887784e-08
296 publication 2.6185395e-05
297 quality 0.00033270448
298 vessel 1.07657315e-05
299 therapy 1.1617452e-05
300 speaker 2.1449912e-06
301 polymer 6.492382e-09
302 flavor 5.8124406e-05
303 chemical 5.675617e-05
304 shape 2.7332808e-06
305 guest 0.000114194336
306 gene 0.00016149099
307 injury 0.0006146257
308 combination 5.9285834e-05
309 bank 3.1143088e-07
310 accessory 1.5831032e-06
311 airline 3.75156e-08
312 county 2.396306e-06
313 competition 7.5135167e-06
314 actor 0.000111357185
315 station 8.4674946e-07
316 gem 0.0001178322
317 image 0.00015826545
318 luminary 3.2201457e-05
319 expression 0.0014315936
320 people 1.2081537e-05
321 vehicle 8.424294e-06
322 society 1.4269111e-05
323 tree 7.684798e-07
324 union 4.559333e-07
325 division 4.0100193e-05
326 genre 0.0013257444
327 fruit 9.87905e-08
328 contemporary 4.0353498e-05
329 heroes 3.0690604e-05
330 officer 1.8267282e-06
331 heroe 0.00013493486
332 virus 0.00020503152
333 establishment 7.440173e-06
334 piece 0.00024895513
335 scientist 2.3239754e-06
336 spot 1.2865502e-05
337 wrestler 1.9138059e-05
338 space 3.2643005e-05
339 vaccine 2.2504528e-07
340 track 0.009195753
341 value 6.832689e-05
342 pioneer 3.2846588e-06
343 substrate 4.5444696e-07
344 publisher 1.5831318e-07
345 architect 3.1996494e-09
346 behavior 0.02866121
347 theorist 7.63323e-05
348 producer 0.00010023161
