number concept activation
0 file -0.011449432
1 medication 0.09628449
2 model 0.010463785
3 item 0.043472964
4 health_care 0.062671565
5 snack 0.018516392
6 player 0.07007224
7 Musical_Instrument 0.040721927
8 fighter 0.031985193
9 bait 0.049861956
10 term 0.034515858
11 protein 0.08305963
12 suspect 0.19694637
13 lesion 0.013712716
14 poet 0.12190392
15 position -0.050215136
16 department -0.0316655
17 industry 0.049583096
18 woman 0.22974837
19 study -0.0006969259
20 treatment 0.0071684076
21 factor 0.15951239
22 title 0.02918913
23 team 0.055015553
24 text 0.046014126
25 group -0.0022103018
26 database -0.006004988
27 provider -0.009732613
28 author 0.08766386
29 authority -0.061931986
30 name 0.06562294
31 location -0.043860044
32 plant 0.038742535
33 offer -0.10106416
34 emotion 0.29104295
35 celebrity 0.15432714
36 game 0.059035476
37 large_scale 0.06374537
38 part -0.014489555
39 firm -0.03258902
40 scheme 0.012894633
41 document -0.0010257328
42 material 0.06250405
43 expert -0.055796273
44 brand 0.10633148
45 choice 0.05625643
46 film 0.13327809
47 person 0.12753223
48 master -0.007385163
49 horse 0.1403117
50 artist 0.09853737
51 technology -0.03068135
52 talent 0.10955393
53 personality 0.23774049
54 equipment -0.075002104
55 word 0.11821036
56 entity 0.009971851
57 device -0.019986989
58 activity -0.011377062
59 individual 0.031138612
60 event -0.024771156
61 investigation 0.060284417
62 bacterium 0.13944933
63 variation 0.15157035
64 specie 0.068068594
65 company -0.007247972
66 star 0.08099734
67 section 0.011425299
68 pathology 0.096940786
69 staple 0.049152598
70 community 0.013935066
71 hit 0.025971152
72 opportunity -0.096134335
73 student 0.038988754
74 act 0.18810514
75 adjective 0.16729803
76 Historic_Site -0.022131313
77 supplier 0.06341316
78 service -0.038078632
79 town 0.06598406
80 pattern 0.050947852
81 dessert 0.10548573
82 academic -0.00020630044
83 village 0.037916034
84 shop 0.017713875
85 district -0.023818998
86 work 0.016795821
87 beach 0.021248437
88 destination -0.041747257
89 attraction 0.13852228
90 doctrine 0.038127903
91 infectious_disease 0.15381746
92 competitor 0.037279755
93 variety 0.032970294
94 book 0.085464135
95 man 0.2139872
96 champion -0.057646293
97 story 0.10303893
98 pest 0.15416929
99 ecosystem 0.025332212
100 researcher 0.015227598
101 deal 0.083597735
102 innovation 0.07097643
103 song 0.25007212
104 festival 0.068510495
105 building 0.0054860814
106 locality 0.033739094
107 chapter 0.04284246
108 critic 0.039556883
109 classic 0.12128151
110 professional 0.07267003
111 reference 0.014294619
112 favorite 0.067532495
113 outfit 0.049395625
114 chain 0.06124812
115 participant -0.06367066
116 symptom 0.20257057
117 class -0.031047313
118 retailer 0.05057565
119 municipality 0.04034307
120 test -0.03818986
121 offense 0.16302676
122 band 0.14495592
123 region 0.016091632
124 ingredient 0.13860437
125 port -0.013714728
126 style 0.08815617
127 vendor 0.0029536951
128 site -0.058792587
129 population 0.033694576
130 sauce 0.13192067
131 newspaper 0.00025680137
132 field -0.007220605
133 performer 0.064426914
134 organism 0.11801192
135 scene 0.08363757
136 school 0.05337788
137 prescription_drug 0.09515651
138 development -0.019301474
139 label 0.09095159
140 complication 0.103475586
141 mineral 0.062066358
