number concept activation
0 file 9.327517e-08
1 medication 2.7941763e-07
2 model 1.3636769e-05
3 item 1.2090648e-09
4 health_care 5.8239726e-07
5 snack 2.885035e-09
6 player 2.5154768e-05
7 Musical_Instrument 2.041115e-07
8 fighter 0.0011157815
9 bait 5.230213e-10
10 term 1.8455948e-07
11 protein 4.01457e-06
12 suspect 6.510915e-05
13 lesion 9.106535e-07
14 poet 0.000101165715
15 position 6.1127953e-06
16 department 1.789572e-05
17 industry 2.64213e-09
18 woman 6.969197e-05
19 study 0.0006138041
20 treatment 9.9301e-07
21 factor 4.3964103e-09
22 title 2.0609206e-05
23 team 0.0006237211
24 text 3.9736235e-05
25 group 1.4658553e-06
26 database 3.295884e-05
27 provider 7.660448e-06
28 author 0.0002236103
29 authority 0.00046560858
30 name 3.2418154e-06
31 location 0.001108265
32 plant 3.64771e-08
33 offer 2.4058566e-09
34 emotion 3.8544227e-13
35 celebrity 1.1672586e-06
36 game 2.1640137e-05
37 large_scale 0.0030890326
38 part 3.560921e-08
39 firm 1.4654622e-05
40 scheme 2.715807e-06
41 document 4.669476e-10
42 material 4.1504906e-09
43 expert 1.0095339e-05
44 brand 2.3365617e-07
45 choice 6.463216e-06
46 film 7.631042e-06
47 person 2.9443969e-05
48 master 1.757515e-05
49 horse 9.331125e-06
50 artist 8.161972e-07
51 technology 0.00035835122
52 talent 3.2571923e-05
53 personality 0.000120819444
54 equipment 3.4745202e-08
55 word 1.8913928e-08
56 entity 2.4143978e-06
57 device 2.6664017e-08
58 activity 1.0692471e-09
59 individual 2.7257547e-05
60 event 5.2822898e-08
61 investigation 0.00010763164
62 bacterium 2.9052805e-08
63 variation 3.3509443e-06
64 specie 1.180517e-08
65 company 2.404386e-07
66 star 7.5134662e-06
67 section 6.3774787e-06
68 pathology 7.2211776e-08
69 staple 8.203434e-08
70 community 0.00037878432
71 hit 1.0659228e-07
72 opportunity 2.3157959e-06
73 student 3.8128554e-05
74 act 4.6382484e-05
75 adjective 1.3106224e-07
76 Historic_Site 1.50278875e-05
77 supplier 2.8445997e-06
78 service 5.519414e-10
79 town 0.084217854
80 pattern 5.049124e-07
81 dessert 8.400308e-09
82 academic 0.0006369571
83 village 0.00056169153
84 shop 3.100853e-06
85 district 0.02403688
86 work 2.4193719e-06
87 beach 2.5935383e-06
88 destination 0.0012421825
89 attraction 9.955589e-06
90 doctrine 5.498981e-08
91 infectious_disease 2.2600042e-07
92 competitor 1.4723978e-05
93 variety 1.2544893e-05
94 book 1.3418901e-06
95 man 7.331348e-05
96 champion 0.0005085495
97 story 1.0246479e-06
98 pest 1.842701e-08
99 ecosystem 4.102216e-08
100 researcher 0.00053184875
101 deal 4.1651325e-07
102 innovation 1.629251e-05
103 song 4.032687e-07
104 festival 0.0011286133
105 building 5.814182e-05
106 locality 0.0014790713
107 chapter 8.177549e-08
108 critic 0.0006595492
109 classic 1.0817992e-05
110 professional 4.7251895e-08
111 reference 0.00011518967
112 favorite 5.3101303e-07
113 outfit 3.6029574e-05
114 chain 6.3437307e-07
115 participant 5.631784e-05
116 symptom 9.7425804e-08
117 class 4.0363273e-05
118 retailer 3.73577e-06
119 municipality 0.029452277
120 test 1.5273055e-06
121 offense 1.0095633e-07
122 band 1.09984885e-05
123 region 0.009048639
124 ingredient 8.4874455e-11
125 port 0.00086544856
126 style 3.1494794e-05
127 vendor 6.323156e-06
128 site 2.6128997e-05
129 population 1.3416714e-06
130 sauce 5.926848e-09
131 newspaper 3.3519154e-05
132 field 1.699803e-05
133 performer 2.876493e-06
134 organism 5.3758505e-08
135 scene 1.4747686e-05
136 school 0.0006142916
137 prescription_drug 2.05656e-08
138 development 0.0002778505
139 label 3.1739775e-05
140 complication 5.9268952e-08
141 mineral 8.170922e-08
142 website 2.5786613e-07
143 hazard 2.2502189e-07
144 keyword 1.1543959e-06
145 manufacturer 2.2787822e-06
146 neighborhood 0.0002466464
147 character 3.6735828e-06
148 candidate 0.000280817
149 course 5.8826126e-06
150 dish 4.3621168e-07
151 tool 1.2386201e-07
152 member 5.7758138e-05
153 sector 6.6599704e-10
154 condition 2.3704342e-08
155 unit 0.00033271906
156 non_invasive 4.4053527e-07
157 great 1.7974346e-05
158 apps 2.2955005e-09
159 employer 4.4538497e-06
160 line 1.0953478e-05
161 club 0.004145724
162 latin_american 1.8773504e-05
163 operation 1.9151616e-06
164 observer 4.1886844e-05
165 tourist_attraction 0.00034853647
166 incident 8.982166e-05
167 movie 2.0187742e-06
168 theater 0.00085112307
169 pitcher 1.0819433e-06
170 road 2.2208949e-06
171 filling 1.3867965e-10
172 process 5.542089e-07
173 boat 1.8726622e-08
174 opponent 0.002149339
175 patient 9.0238955e-06
176 city 0.7595402
177 figure 2.332078e-05
178 writer 7.6707875e-05
179 rival 0.0018500985
180 wildlife 3.5375064e-11
181 instrument 2.563362e-06
182 decision 2.5271194e-05
183 music 2.0261139e-05
184 party 7.7186065e-05
185 driver 2.650827e-06
186 pollutant 1.4133687e-07
187 meal 1.8121648e-08
188 food 1.9920291e-11
189 child 2.8267837e-06
190 Organisation 1.0001171e-05
191 type 4.890648e-07
192 fish 1.1472689e-08
193 marker 1.0398637e-05
194 agency 1.7499689e-06
195 disorder 2.1123354e-07
196 legislation 1.1014083e-06
197 medium_sized 0.025191661
198 channel 6.293607e-07
199 surgical_procedure 2.627788e-08
200 oil 3.6252754e-10
201 association 4.529193e-06
202 appetizer 5.276236e-09
203 superstar 0.00018674249
204 recipe 1.4031211e-08
205 friend 7.1688683e-06
206 tactic 4.0700982e-08
207 director 3.106786e-07
208 agent 1.09378725e-05
209 lake 1.3262466e-05
210 side 1.192593e-06
211 designer 1.3681579e-07
212 tradition 1.90068e-06
213 pathway 3.706698e-07
214 stalwart 0.0008657507
215 medicine 7.727533e-07
216 sign 1.7296321e-06
217 target 3.1964337e-05
218 machine 6.6804605e-06
219 Fan_Favorite 1.9823477e-05
220 guy 0.00011173488
221 musician 1.7308092e-05
222 format 6.6602124e-06
223 literature 0.0019548445
224 water_soluble 8.22634e-07
225 hospital 2.754843e-05
226 carrier 5.5715977e-06
227 cut 4.1392504e-08
228 athlete 0.0001648344
229 specialist 1.002102e-06
230 package 2.6631034e-07
231 symbol 3.0124755e-07
232 specialty 2.0361477e-07
233 signing 4.037285e-07
234 paper 7.725308e-05
235 medium 1.0563069e-08
236 bird 6.823709e-10
237 additive 1.5810452e-11
238 hardware 2.4701896e-07
239 sponsor 8.742342e-06
240 genus 1.4193118e-07
241 employee 4.3934137e-06
242 veteran 9.528057e-06
243 chef 9.289112e-09
244 bar 8.227179e-07
245 sound 1.2045926e-06
246 creature 2.32831e-06
247 design 3.4009036e-06
248 celeb 4.3017266e-08
249 magazine 4.2069278e-06
250 influence 7.6261364e-07
251 scholar 2.9067136e-05
252 invasive_procedure 6.658706e-08
253 tissue 1.6417136e-08
254 analyst 1.46093125e-05
255 customer 1.8335579e-06
256 gift 1.5342866e-09
257 collection 2.9171636e-06
258 intervention 2.145909e-07
259 notable 4.7067777e-05
260 hormone 7.991621e-08
261 exception 1.1632397e-05
262 ward 4.510026e-06
263 offering 4.1893696e-07
264 circuit 0.0010946165
265 painting 3.0637206e-05
266 play 4.702081e-05
267 river 4.6519097e-05
268 structure 1.0993946e-06
269 cultivar 3.1581753e-06
270 procedure 3.9600243e-07
271 animal 1.6311053e-11
272 toy 2.1664246e-09
273 heavyweight 5.5219767e-05
274 regulation 7.031721e-07
275 notable_exception 0.00013348696
276 special 1.2830776e-08
277 pro 9.528402e-06
278 discipline 6.116427e-05
279 language 3.3750806e-05
280 island 1.4628096e-06
281 car 5.6932936e-07
282 drink 1.939839e-08
283 religion 2.3860646e-06
284 trait 2.223702e-07
285 mental_health 5.734299e-06
286 beverage 1.4733218e-08
287 orchestra 0.0006164379
288 starter 2.160051e-08
289 upgrade 1.3418433e-08
290 account 2.2226577e-06
291 soft_tissue 3.6040504e-08
292 photographer 2.2959607e-06
293 venue 0.0014043147
294 Adverse_Effect 5.5163248e-08
295 province 7.6606404e-05
296 publication 2.9431287e-06
297 quality 8.3718935e-11
298 vessel 5.788424e-07
299 therapy 1.1637346e-07
300 speaker 5.5312048e-05
301 polymer 1.3622856e-08
302 flavor 1.7605241e-10
303 chemical 3.7899284e-09
304 shape 6.990359e-07
305 guest 4.7914156e-05
306 gene 5.6641104e-05
307 injury 7.533726e-08
308 combination 3.0216165e-07
309 bank 1.8599063e-05
310 accessory 6.509664e-10
311 airline 1.0648758e-06
312 county 0.0006156153
313 competition 0.00067654136
314 actor 1.0710811e-05
315 station 0.002447983
316 gem 5.0057615e-06
317 image 1.1549002e-06
318 luminary 0.00027322862
319 expression 7.6550214e-07
320 people 0.00012862695
321 vehicle 5.466763e-06
322 society 7.669324e-05
323 tree 1.932806e-07
324 union 1.0824329e-05
325 division 0.00045568126
326 genre 8.680963e-06
327 fruit 1.10839976e-10
328 contemporary 1.5154043e-05
329 heroes 0.000106005195
330 officer 2.8562151e-06
331 heroe 0.0008746514
332 virus 2.6388961e-06
333 establishment 1.5751722e-05
334 piece 7.5781004e-06
335 scientist 0.00034261716
336 spot 0.00031801834
337 wrestler 0.00018041016
338 space 6.266976e-06
339 vaccine 5.666919e-06
340 track 0.00023419812
341 value 7.767252e-09
342 pioneer 6.672448e-05
343 substrate 2.0577371e-08
344 publisher 5.8388512e-05
345 architect 1.9204986e-06
346 behavior 4.3013653e-08
347 theorist 0.00015528146
348 producer 1.7748449e-05
349 sweet 1.4648784e-09
350 mission 0.00020939657
351 single 1.7688721e-07
352 partner 4.5485533e-05
353 park 0.00049974583
354 celebs 3.214324e-09
355 finish 4.2766333e-09
356 committee 7.114194e-07
357 battle 0.012538343
358 crop 3.712269e-08
359 phrase 4.1250212e-07
360 sight 0.0004494176
361 addition 1.2953566e-05
362 album 3.3591314e-05
363 leader 0.00048323118
364 habitat 6.499509e-08
365 charity 9.060026e-07
366 malignancy 5.6899665e-07
367 feeling 8.773404e-10
368 mouth_watering 1.7726391e-08
369 legend 0.00011060231
370 real_estate 2.4901508e-05
371 icon 1.4988125e-05
372 modality 1.7857964e-06
373 restaurant 5.7138e-07
374 cheese 9.563323e-06
375 mammal 2.1101452e-09
376 cutting_edge 1.4421799e-05
377 headliner 5.209828e-05
378 fuel 1.5540696e-06
379 syndrome 8.597025e-07
380 fixture 3.9789284e-06
381 prop 4.4276166e-07
382 report 4.1938426e-07
383 center 0.0036279906
384 college 2.8712525e-06
385 delicacy 8.584165e-08
386 role 1.2417236e-07
387 newcomer 0.00022484557
388 ensemble 4.9249415e-05
389 investment 4.075389e-08
390 control 9.643928e-08
391 theory 4.4806355e-05
392 salad 3.2169012e-08
393 biomarker 3.688083e-08
394 nickname 2.1219169e-06
395 singer 1.7030725e-05
396 raw_material 1.02121625e-07
397 entree 4.9823847e-09
398 african_american 5.264279e-06
399 operator 1.9162363e-07
400 particle 6.133547e-05
401 politician 0.00014804146
402 builder 3.704447e-07
403 maker 0.00014146935
404 series 1.9418514e-05
405 store 4.5549562e-08
406 sport 4.5091783e-06
407 developer 2.1957483e-07
408 museum 0.0038872987
409 enzyme 1.9626833e-07
410 Web_Site 4.4863876e-07
411 herb 4.1282913e-08
412 fashion_designer 1.1068902e-08
413 record 1.9165886e-06
414 software 1.0062927e-06
415 street 8.236872e-06
416 show 1.7911451e-06
417 version 5.66979e-06
418 stimulus 1.2480067e-06
419 teammate 1.3884279e-06
420 touch 1.0504337e-09
421 outlet 1.2369551e-06
422 Service_Provider 3.9017054e-06
423 entertainer 1.4897976e-05
424 advocate 4.4952844e-06
425 suburb 0.002364191
426 exhibit 7.1654597e-07
427 mine 0.00010706209
428 settlement 0.00035106743
429 remedy 1.4790741e-08
430 official 1.2519378e-05
431 poem 8.297154e-06
432 breed 0.0018630605
433 state 0.0037947514
434 youngster 1.6070284e-05
435 camp 0.0043327194
436 organ 2.5064725e-08
437 giant 0.00030105747
438 actress 4.8490456e-06
439 fund 1.4946796e-06
440 variant 5.1600222e-05
441 Empirical_Study 8.624308e-05
442 Signature_Dish 5.7413185e-10
443 mode 5.6904764e-07
444 conference 0.0011497517
445 force 0.00022109403
446 brewery 1.1633696e-05
447 art 2.8090471e-06
448 threat 2.7380707e-07
449 production 4.2914446e-05
450 supporter 6.354824e-05
451 inhibitor 1.2560915e-06
452 journal 0.0011468416
453 practitioner 1.5825115e-06
454 novelist 4.975036e-06
455 invertebrate 1.3050586e-09
456 vegetable 1.3876413e-09
457 musical 5.700015e-06
458 economist 3.172679e-05
459 card 1.5140561e-06
460 network 4.588673e-07
461 comedy 2.2318073e-07
462 nineteenth_century 2.2517126e-05
463 grass 4.9411883e-09
464 ride 1.6537031e-08
465 standout 0.0006511596
466 water 1.7291732e-08
467 worker 1.855888e-05
468 investigator 0.0003612839
469 surgery 1.6192178e-07
470 Famous_Name 0.00053136784
471 Centre 0.046828516
472 parish 1.517342e-05
473 comment 1.8018498e-07
474 occupation 2.6977139e-08
475 artiste 4.0818537e-07
476 experiment 0.007256647
477 insect 3.7578607e-09
478 densely_populated 0.08015348
479 dog 4.000655e-06
480 commentator 0.0028495274
481 infection 3.3022746e-07
482 composition 8.500423e-05
483 dignitary 1.5767322e-05
484 ethnic_minority 2.603036e-06
485 internationally_renowned 0.0018168213
486 prison 0.00027965984
487 philosopher 0.00027257946
488 critically_acclaimed 2.3828266e-06
489 comic 6.1475987e-07
490 surname 1.8036317e-05
491 finding 2.3495062e-07
492 index 2.9111996e-05
493 peer 6.1773294e-06
494 coach 2.5536494e-05
495 activist 7.1930815e-05
496 foundation 1.4567075e-05
497 award 1.8506884e-05
498 pathogen 3.770369e-08
499 face 3.15357e-05
500 council 0.0008308732
501 verb 3.9868453e-07
502 acquisition 6.8356536e-07
503 selection 6.2599065e-07
504 defect 1.6289556e-07
505 route 7.839587e-05
506 studio 9.097091e-06
507 thinker 9.743988e-05
508 container 4.6892004e-07
509 Historical_Site 0.000607049
510 abnormality 2.7143778e-07
511 movement 1.4710266e-05
512 colleague 1.565922e-05
513 sociologist 0.00012333141
514 base 0.0022468378
515 culture 0.00065572566
516 monster 1.6263666e-05
517 explorer 7.4056095e-07
518 investor 2.6896371e-08
519 tourist_destination 0.00020620471
520 insurer 1.4227676e-07
521 regular 2.5518152e-06
522 sample 3.887762e-06
523 Menu_Item 3.228808e-08
524 Offence 4.1177148e-07
525 minister 8.9288494e-07
526 composer 1.1235281e-05
527 coating 4.694704e-10
528 perennial 1.6199824e-07
529 soil 5.2580026e-06
530 performance 0.00017713335
531 teacher 5.1003353e-06
532 painter 1.1125214e-06
533 landmark 2.0190986e-05
534 university 0.029358156
535 mountain 0.00010035067
536 novel 2.383165e-06
537 wine 2.9631472e-06
538 fabric 2.3768682e-07
539 internationally_acclaimed 8.066584e-05
540 franchise 6.2662057e-06
541 prize 4.0689076e-07
542 disaster 1.0545481e-05
543 topping 1.48478e-07
544 house 6.0152586e-05
545 journalist 4.5610803e-05
546 filmmaker 1.2568292e-05
547 djs 0.00022895965
548 law_enforcement 1.1851827e-05
549 muscle 4.5589093e-09
550 blue_chip 2.5272591e-05
551 manager 1.57787e-07
552 stock 1.2262988e-07
553 contributor 2.7410511e-05
554 choreographer 2.1872276e-07
555 south_african 4.913607e-06
556 resort 0.00036515162
557 folk 1.5014416e-06
558 tune 1.237598e-06
559 winery 6.636757e-07
560 entrepreneur 6.122083e-06
561 physician 1.1381072e-06
562 deity 1.3748152e-07
563 playwright 8.063597e-06
564 move 6.4872497e-06
565 user 2.143106e-06
566 quarterback 1.368876e-06
567 twentieth_century 0.00058314117
568 guest_speaker 4.1683415e-06
569 dance 2.3719529e-05
570 villain 2.03845e-05
571 contender 0.0005675615
572 spelling 2.4785982e-06
573 law 2.4192475e-06
574 lender 1.7325611e-07
575 cell 6.1543153e-07
576 fundraiser 2.8464745e-08
577 theologian 5.6605735e-05
578 flower 5.017735e-07
579 airport 0.033299442
580 stream 7.255678e-07
581 estate 2.5464449e-06
582 meat 1.2676457e-08
583 tributary 1.13455035e-05
584 proponent 5.08414e-06
585 sensor 6.1454597e-07
586 democrat 1.8762089e-06
587 comedian 1.8417197e-05
588 effort 1.8370869e-05
589 predator 2.0646318e-09
590 shrub 9.809442e-09
591 antibiotic 3.3901966e-08
592 phone 1.7146844e-10
593 supermarket 1.13783976e-07
594 township 0.0009113316
595 historian 8.529451e-05
596 rider 6.429315e-07
597 abbreviation 1.2065014e-05
598 cartoon 3.6939172e-09
599 hotel 3.8704155e-05
600 trainer 1.3935507e-07
601 sandwich 4.3373433e-08
602 senator 6.300676e-07
603 family 3.9644412e-05
604 tenant 1.5750946e-07
605 lawyer 3.308916e-05
606 release 2.7022281e-06
607 girl 6.0882216e-05
608 feminist 5.8284177e-06
609 Medical_Device 6.5240613e-09
610 contractor 2.3448498e-05
611 saint 2.899263e-06
612 psychologist 8.718948e-05
613 mall 1.2582552e-07
614 conductor 2.3867792e-06
615 aircraft 2.4973901e-06
616 prospect 9.396724e-06
617 beer 2.9581747e-06
618 mps 5.591334e-08
619 reservoir 4.958741e-05
620 condiment 5.7986625e-08
621 dancer 2.2020047e-06
622 pesticide 1.3295946e-07
623 accident 0.0007132302
624 rookie 5.8770943e-06
625 reformer 8.755132e-05
626 rapper 2.9190036e-07
627 tumor 8.0409365e-07
628 winner 0.00022462939
629 denomination 1.0265521e-06
630 ngos 2.8449986e-06
631 ship 0.00010203816
632 garment 3.3977947e-09
633 train 0.00023437123
634 ophthalmologist 4.0893343e-07
635 doctor 1.5834528e-05
636 temple 6.669556e-06
