number concept activation
0 file 0.07392073
1 medication 0.018591873
2 model 0.060507543
3 item 0.0040412247
4 health_care -0.03156298
5 snack -0.01253178
6 player -0.014755337
7 Musical_Instrument 0.0909999
8 fighter 0.13821992
9 bait -0.04170466
10 term -0.017561179
11 protein 0.030642755
12 suspect -0.047789823
13 lesion 0.050285168
14 poet 0.04201768
15 position 0.0007886953
16 department 0.02606053
17 industry -0.07268011
18 woman -0.025247784
19 study 0.029653428
20 treatment 0.053659137
21 factor -0.032035664
22 title 0.12049195
23 team 0.015138634
24 text -0.069701694
25 group 0.0383441
26 database 0.09580705
27 provider -0.04079236
28 author 0.0643617
29 authority 0.037506748
30 name -0.013022407
31 location 0.028537784
32 plant 0.030801661
33 offer -0.0025703516
34 emotion -0.01876881
35 celebrity -0.0052645006
36 game 0.039430194
37 large_scale 0.12844111
38 part 0.06842994
39 firm -0.03227055
40 scheme 0.012362473
41 document -0.013258348
42 material 0.04712051
43 expert 0.03278978
44 brand -0.044399202
45 choice -0.05500593
46 film 0.034543216
47 person -0.065957814
48 master 0.08165856
49 horse 0.022538519
50 artist 0.013875842
51 technology 0.0037295998
52 talent 0.02698547
53 personality -0.00086546136
54 equipment -0.012072384
55 word -0.045203824
56 entity -0.058438927
57 device 0.03245683
58 activity 0.042860363
59 individual 0.00037123752
60 event 0.064303495
61 investigation -0.009466383
62 bacterium 0.052115347
63 variation 0.013933894
64 specie 0.017504549
65 company -0.017177545
66 star 0.027054094
67 section 0.060359493
68 pathology 0.03981789
69 staple -0.06271264
70 community -0.012670993
71 hit -0.025823327
72 opportunity -0.0008720841
73 student -0.022734279
74 act 0.02428075
75 adjective -0.032209974
76 Historic_Site 0.06500636
77 supplier -0.0536499
78 service 0.013077704
79 town 0.09004363
80 pattern -0.0028922204
81 dessert -0.016825005
82 academic 0.037649218
83 village 0.14707573
84 shop -0.0155446995
85 district 0.03266189
86 work 0.07550715
87 beach 0.015367057
88 destination -0.042626593
89 attraction 0.067744695
90 doctrine 0.059837043
91 infectious_disease 0.059387617
92 competitor 0.009255446
93 variety -0.054312278
94 book 0.039357238
95 man -0.05961476
96 champion 0.096740276
97 story -0.011913146
98 pest -0.017745752
99 ecosystem -0.074547164
100 researcher 0.062122397
101 deal -0.06075902
102 innovation -0.023012176
103 song -0.038021907
104 festival 0.055841234
105 building 0.009864525
106 locality 0.1523024
107 chapter -0.016305715
108 critic -0.039178625
