number concept activation
0 file 0.0015881353
1 medication 4.1854666e-05
2 model 3.661167e-05
3 item 0.00076038437
4 health_care 0.0017673502
5 snack 0.00023997565
6 player 4.854439e-05
7 Musical_Instrument 0.021211198
8 fighter 1.0909859e-05
9 bait 1.8284702e-05
10 term 0.00070662977
11 protein 6.209509e-07
12 suspect 0.0009731742
13 lesion 7.77598e-06
14 poet 0.0005943958
15 position 0.0001610157
16 department 1.6792745e-05
17 industry 2.4122592e-05
18 woman 0.0002327381
19 study 0.00037876607
20 treatment 0.00023569966
21 factor 0.0034164963
22 title 0.0005792246
23 team 2.5038502e-05
24 text 0.000692151
25 group 0.0006519724
26 database 0.00085002487
27 provider 0.00025120645
28 author 0.00027849816
29 authority 9.658952e-05
30 name 0.00038335082
31 location 0.000230011
32 plant 2.1256932e-05
33 offer 0.00026477932
34 emotion 0.0009611832
35 celebrity 4.6312292e-05
36 game 0.0012381751
37 large_scale 0.0014541113
38 part 0.00021991732
39 firm 9.056942e-06
40 scheme 0.00042393585
41 document 0.00039296094
42 material 0.0001645668
43 expert 0.00046791424
44 brand 5.204226e-05
45 choice 0.002441602
46 film 0.00016424307
47 person 0.00055911404
48 master 0.0019634848
49 horse 0.00028644307
50 artist 0.00429608
51 technology 0.0035239342
52 talent 0.00025818136
53 personality 0.00051841664
54 equipment 0.003615606
55 word 0.00090351305
56 entity 1.4924853e-05
57 device 0.008653087
58 activity 0.014665343
59 individual 0.0007209912
60 event 0.0007294112
61 investigation 0.00026627877
62 bacterium 2.405958e-06
63 variation 0.0014919128
64 specie 0.00012710982
65 company 0.00021463851
66 star 5.7754994e-05
67 section 0.00080402044
68 pathology 6.0276175e-06
69 staple 0.00010690897
70 community 4.4773886e-05
71 hit 0.0012401538
72 opportunity 0.0056337365
73 student 0.0009681097
74 act 0.00560864
75 adjective 0.0005574878
76 Historic_Site 0.00012169334
77 supplier 7.563619e-05
78 service 0.00072219153
79 town 7.279816e-05
80 pattern 6.92676e-05
81 dessert 4.892483e-05
82 academic 0.000110862486
83 village 1.8470157e-05
84 shop 7.7448174e-05
85 district 2.3254132e-05
86 work 0.00016391015
87 beach 6.124453e-05
88 destination 0.0003970668
89 attraction 0.00044585462
90 doctrine 7.904181e-05
91 infectious_disease 2.9222365e-06
92 competitor 3.3962917e-06
93 variety 4.583571e-05
94 book 0.0019361178
95 man 6.9245405e-05
96 champion 1.6097754e-05
97 story 0.0019006233
98 pest 2.4370165e-05
99 ecosystem 2.0961616e-05
100 researcher 0.00010815006
101 deal 0.0028254997
102 innovation 0.0015952749
103 song 0.06377605
104 festival 0.0007230055
105 building 0.0001901187
106 locality 1.726006e-05
107 chapter 0.00025319573
108 critic 0.002374207
109 classic 0.0008813458
110 professional 0.00034576407
111 reference 0.0056322543
112 favorite 0.00043595792
113 outfit 0.00023443025
114 chain 1.0166486e-05
115 participant 0.00011201236
116 symptom 0.00093030056
117 class 0.00041642183
118 retailer 7.327458e-06
119 municipality 3.7868415e-06
120 test 0.0005282986
121 offense 0.00017577222
122 band 0.009824047
123 region 1.4395254e-06
124 ingredient 5.720161e-05
125 port 0.00062263984
126 style 0.010796386
127 vendor 0.0004869936
128 site 0.00022952071
129 population 0.000995912
130 sauce 3.3894837e-06
131 newspaper 1.0816342e-05
132 field 0.0003720153
133 performer 0.00039824346
134 organism 2.9561095e-05
135 scene 0.0039548664
136 school 1.4146638e-05
137 prescription_drug 8.19093e-06
138 development 5.2312043e-05
139 label 0.005011796
140 complication 3.763153e-05
141 mineral 1.1095599e-06
142 website 6.778014e-05
143 hazard 0.0005350408
144 keyword 0.0032483449
145 manufacturer 9.6620024e-05
146 neighborhood 1.8805364e-05
147 character 0.0002181992
148 candidate 0.001048748
149 course 4.5999168e-05
150 dish 4.1192317e-05
151 tool 0.0031880643
152 member 0.0015456114
153 sector 5.777493e-07
154 condition 0.0009712069
155 unit 0.00013594479
156 non_invasive 0.0005174209
157 great 0.0002883207
158 apps 0.027811026
159 employer 4.113987e-05
160 line 0.00057916774
161 club 0.0010404454
162 latin_american 6.588041e-05
163 operation 0.00863514
164 observer 0.0005651946
165 tourist_attraction 6.9192734e-05
166 incident 0.00025947866
167 movie 6.35948e-05
168 theater 1.2258655e-06
169 pitcher 1.5925492e-06
170 road 4.3290306e-06
171 filling 2.5495614e-05
172 process 0.0012349449
173 boat 0.00031449195
174 opponent 7.606845e-05
175 patient 7.523637e-05
176 city 7.902409e-06
177 figure 0.00030768616
178 writer 0.00011802247
179 rival 6.75873e-06
180 wildlife 8.811828e-05
181 instrument 0.014690453
182 decision 0.0004441483
183 music 0.009330936
184 party 0.00030216743
185 driver 0.00017760384
186 pollutant 0.0022406029
187 meal 0.00016357354
188 food 1.7602526e-05
189 child 5.974327e-05
190 Organisation 0.00022358981
191 type 0.00047414284
192 fish 3.1426418e-05
193 marker 9.979528e-05
194 agency 6.4967446e-07
195 disorder 0.0003186013
196 legislation 9.099864e-05
197 medium_sized 8.695413e-06
198 channel 4.9258055e-05
199 surgical_procedure 4.288724e-05
200 oil 4.090043e-06
201 association 0.00024225267
202 appetizer 3.2217828e-05
203 superstar 3.0845087e-05
204 recipe 0.00033300056
205 friend 0.0044242907
206 tactic 0.00610226
207 director 4.900747e-07
208 agent 2.8982078e-05
209 lake 0.00017369396
210 side 2.910181e-05
211 designer 3.8564035e-06
212 tradition 0.0011898295
213 pathway 1.3696382e-05
214 stalwart 4.538817e-05
215 medicine 0.0003421321
216 sign 0.00066262286
217 target 0.00016954228
218 machine 0.0012252482
219 Fan_Favorite 0.00047247123
220 guy 0.00028763377
221 musician 0.01729126
222 format 0.001677082
223 literature 0.00050562934
224 water_soluble 9.884731e-06
225 hospital 6.0899936e-07
226 carrier 8.458223e-05
227 cut 0.00013177909
228 athlete 4.47475e-06
229 specialist 0.0007131515
230 package 0.0009222175
231 symbol 0.00011743568
232 specialty 3.373166e-05
233 signing 1.4556804e-06
234 paper 0.0009209052
235 medium 0.00087708374
236 bird 0.00027761405
237 additive 0.0001208425
238 hardware 0.001072878
239 sponsor 0.00021809645
240 genus 1.7494065e-06
241 employee 0.00017625422
242 veteran 0.00010013894
243 chef 6.9664814e-08
244 bar 0.000117824675
245 sound 0.1357478
246 creature 1.0027712e-05
247 design 0.00020459488
248 celeb 3.0027284e-06
249 magazine 0.0012555574
250 influence 0.005632009
251 scholar 0.00020157726
252 invasive_procedure 0.0009292681
253 tissue 1.0277509e-05
254 analyst 0.0006290672
255 customer 2.0909807e-05
256 gift 0.00572783
257 collection 0.0008757869
258 intervention 0.00047761248
259 notable 0.00033920296
260 hormone 4.744783e-06
261 exception 0.00048113466
262 ward 4.723509e-05
263 offering 0.0005797001
264 circuit 0.00018324022
265 painting 0.00052633433
266 play 0.0004980664
267 river 0.0001805604
268 structure 0.000106396285
269 cultivar 0.000112373746
270 procedure 0.0004871738
271 animal 1.7585746e-05
272 toy 0.00085680233
273 heavyweight 9.586326e-05
274 regulation 0.00039327051
