number concept activation
0 file 0.0755877
1 medication 0.12279048
2 model -0.050161865
3 item 0.029000634
4 health_care 0.08572981
5 snack 0.1423519
6 player 0.09240603
7 Musical_Instrument 0.14363234
8 fighter -0.011726227
9 bait 0.07727761
10 term 0.039961565
11 protein -0.080374606
12 suspect 0.03955798
13 lesion 0.048711367
14 poet 0.122315526
15 position 0.056115348
16 department -0.0060830805
17 industry 0.07885111
18 woman 0.034815047
19 study 0.0839364
20 treatment 0.044854186
21 factor 0.002758878
22 title -0.00044594047
23 team 0.037831504
24 text 0.14420754
25 group 0.11198743
26 database 0.06547283
27 provider -0.03108223
28 author 0.012550632
29 authority 0.011461917
30 name 0.014002927
31 location 0.081372984
32 plant 0.016529407
33 offer 0.07563197
34 emotion 0.1637767
35 celebrity -0.0028869472
36 game 0.07368945
37 large_scale -0.045629688
38 part 0.11309356
39 firm -0.04108496
40 scheme -0.037163638
41 document 0.062305145
42 material 0.11454855
43 expert 0.03298015
44 brand 0.04355873
45 choice 0.124453776
46 film 0.0338488
47 person 0.11011759
48 master 0.10803207
49 horse 0.01963355
50 artist 0.11495375
51 technology 0.041872878
52 talent 0.07445162
53 personality 0.1903989
54 equipment 0.035058245
55 word 0.12287983
56 entity -0.00894722
57 device 0.15525453
58 activity 0.08870096
59 individual 0.10865323
60 event -0.0068308073
61 investigation 0.032387286
62 bacterium -0.040051293
63 variation 0.030630933
64 specie -0.057936285
65 company -0.006681843
66 star -0.008811554
67 section 0.008667221
68 pathology 0.07518956
69 staple 0.067769326
70 community 0.14997298
71 hit 0.05501523
72 opportunity 0.11086071
73 student 0.0393791
74 act 0.12048447
75 adjective 0.047518242
76 Historic_Site 0.09337328
77 supplier -0.025787372
78 service 0.10931234
79 town 0.05036039
80 pattern 0.072149165
81 dessert 0.0701907
82 academic 0.06404048
83 village -0.01877608
84 shop 0.08969266
85 district 0.0068309065
86 work 0.17147776
87 beach 0.12724197
88 destination 0.046099335
89 attraction 0.01935234
90 doctrine 0.08362729
91 infectious_disease -0.020273982
92 competitor -0.014391566
93 variety 0.13007656
94 book 0.073917456
95 man 0.063322455
96 champion 0.0014786654
97 story 0.0458295
98 pest 0.038676735
99 ecosystem 0.074944586
100 researcher -0.054640003
101 deal 0.061453722
102 innovation 0.07879634
103 song 0.32136607
104 festival 0.043431494
105 building 0.08866199
106 locality 0.009618443
107 chapter 0.024980174
108 critic 0.100263946
109 classic 0.13369952
110 professional 0.03979107
111 reference 0.11141238
112 favorite 0.157218
113 outfit 0.01223445
114 chain -0.032055013
115 participant 0.052013867
116 symptom 0.101213954
117 class 0.07633316
118 retailer 0.031878736
119 municipality -0.00562307
120 test 0.058312573
121 offense 0.007855201
122 band 0.23950225
123 region -0.018828005
124 ingredient -0.01695138
125 port 0.02893801
126 style 0.11119513
127 vendor 0.042041164
128 site 0.056668427
129 population 0.05321414
130 sauce 0.0006124869
131 newspaper 0.02418228
132 field 0.05467512
133 performer 0.08162125
134 organism 0.008127074
135 scene 0.10648446
136 school 0.075564705
137 prescription_drug 0.06505833
138 development 0.0011640403
139 label 0.12157855
140 complication -0.022374406
141 mineral -0.006606636
142 website 0.064229384
143 hazard -0.0050351545
144 keyword 0.09619304
145 manufacturer 0.0049098767
146 neighborhood 0.089072585
147 character 0.061129227
148 candidate 0.07273633
149 course 0.14655489
150 dish 0.02062807
151 tool 0.08839646
152 member 0.08356204
153 sector 0.053871688
154 condition 0.0520215
155 unit -0.03291597
156 non_invasive 0.07139263
157 great 0.17608622
158 apps 0.09886904
159 employer 0.014171555
160 line 0.045085065
161 club 0.03183982
162 latin_american 0.008987013
163 operation -0.03154554
164 observer 0.1068154
165 tourist_attraction -0.003674228
166 incident 0.06246027
167 movie 0.07859999
168 theater 0.10141828
169 pitcher 0.047065496
170 road 0.12442893
171 filling 0.18367481
172 process 0.10582193
173 boat 0.09616558
174 opponent 0.020610118
175 patient 0.15300617
176 city 0.010444312
177 figure 0.046937756
178 writer 0.04304482
179 rival 0.006408959
180 wildlife 0.07681146
181 instrument 0.19894488
182 decision 0.058170725
183 music 0.41077313
184 party 0.1121176
185 driver 0.060605276
186 pollutant -0.019075187
187 meal 0.095709436
188 food 0.026081383
189 child 0.087724164
190 Organisation -0.010526195
191 type 0.08919418
192 fish -0.0051305136
193 marker -0.04684291
194 agency 0.0076518445
195 disorder 0.07446153
196 legislation -0.00800115
197 medium_sized -0.018354397
198 channel 0.14968091
199 surgical_procedure 0.046805725
200 oil -0.010053804
201 association -0.0071787164
202 appetizer 0.027105344
203 superstar 0.05447193
204 recipe 0.0019443464
205 friend 0.15159631
206 tactic 0.046244387
207 director -0.039013147
208 agent 0.026415467
209 lake 0.09233738
210 side 0.07425786
211 designer -0.029077776
212 tradition 0.061538715
213 pathway 0.017628852
214 stalwart 0.014906053
215 medicine 0.03582434
216 sign 0.062734514
217 target 0.009449509
218 machine 0.09763043
219 Fan_Favorite 0.02591985
220 guy 0.15155955
221 musician 0.2787843
222 format 0.12164748
223 literature 0.122547396
224 water_soluble -0.09116002
225 hospital 0.074412964
226 carrier -0.009924365
227 cut 0.036578372
228 athlete 0.0035782978
229 specialist -0.07002124
230 package 0.058845855
231 symbol -0.018854529
232 specialty -0.042200938
233 signing 0.1103038
234 paper -0.0064651957
235 medium 0.025552645
236 bird 0.114641726
237 additive -0.03526608
238 hardware 0.049376294
239 sponsor -0.054062925
240 genus 0.010649731
241 employee 0.015039037
242 veteran 0.0791316
243 chef -0.018001055
244 bar 0.079450004
245 sound 0.37511966
246 creature 0.05522865
247 design 0.02900445
248 celeb -0.020200083
249 magazine 0.010069755
250 influence 0.19251518
251 scholar 0.030062879
252 invasive_procedure 0.07577669
253 tissue -0.011740279
254 analyst 0.010198884
255 customer 0.10732641
256 gift 0.084607534
257 collection 0.12756343
258 intervention 0.07246616
259 notable -0.011730781
260 hormone 0.03158622
261 exception -0.030882629
262 ward 0.025430055
263 offering 0.10713542
264 circuit 0.12612137
265 painting 0.10806089
266 play 0.15726788
267 river 0.092919186
268 structure -0.041385572
269 cultivar 0.00086553337
270 procedure 0.022774579
271 animal -0.0063520735
272 toy 0.08655639
273 heavyweight -0.05103372
274 regulation -0.019870928
275 notable_exception -0.009929341
276 special 0.10465714
277 pro 0.06753397
278 discipline 0.08231566
279 language 0.20863158
280 island 0.031267323
281 car 0.09184402
282 drink 0.16383363
283 religion 0.08807739
284 trait 0.07891722
285 mental_health 0.106264316
286 beverage 0.027918976
287 orchestra 0.14832568
288 starter -0.025507897
289 upgrade 0.036412947
290 account 0.03348482
291 soft_tissue -0.015292163
292 photographer -0.015148752
293 venue 0.09326
294 Adverse_Effect 0.005158689
295 province 0.007893481
296 publication -0.024465133
297 quality 0.11181973
298 vessel 0.0048093414
299 therapy 0.16776071
300 speaker 0.26034704
301 polymer -0.088577375
302 flavor 0.08929504
303 chemical -0.0147272
304 shape 0.11215148
305 guest 0.10854503
306 gene -0.004321835
307 injury -0.011702852
308 combination 0.037762467
309 bank 0.006055567
310 accessory 0.09568208
311 airline 0.02192555
312 county 0.022923449
313 competition -0.016332021
314 actor -0.0043172524
315 station 0.15974644
316 gem 0.05734544
317 image 0.046504647
318 luminary 0.07136321
319 expression 0.14507204
320 people 0.1562908
321 vehicle 0.056340534
322 society 0.02640465
323 tree 0.092722036
324 union 0.019382168
325 division -0.058052585
326 genre 0.14622681
327 fruit 0.0017498254
328 contemporary 0.16141301
329 heroes 0.020323535
330 officer -0.015148128
331 heroe 0.10936423
332 virus -0.011107159
333 establishment 0.012061481
334 piece 0.13126592
335 scientist 0.014941463
336 spot 0.060577948
337 wrestler -0.038068924
338 space 0.071310416
339 vaccine -0.014727182
340 track 0.18256696
341 value 0.021795167
342 pioneer 0.03118056
343 substrate -0.03977555
344 publisher 0.030976336
345 architect 0.013511321
346 behavior 0.14646013
347 theorist 0.025207508
348 producer 0.07200482
349 sweet 0.102491185
350 mission 0.028544957
351 single 0.08604407
352 partner -0.0018666983
353 park 0.09564049
354 celebs 0.0068232687
355 finish 0.04355949
356 committee 0.068878375
357 battle -0.0020068565
358 crop 0.06310062
359 phrase 0.139579
360 sight 0.12878813
361 addition 0.052209616
362 album 0.22145408
363 leader 0.082565375
364 habitat 0.10312377
365 charity -0.0075191557
366 malignancy 0.03589612
367 feeling 0.19855939
368 mouth_watering 0.005119029
369 legend 0.09714107
370 real_estate 0.0246038
371 icon 0.061225537
372 modality 0.12405341
373 restaurant 0.043307014
374 cheese 0.024323605
375 mammal 0.06987679
376 cutting_edge 0.067530155
