number concept activation
0 file 3.1928146e-05
1 medication 7.484715e-05
2 model 9.052289e-05
3 item 5.829785e-07
4 health_care 0.00033114757
5 snack 3.4143424e-05
6 player 5.4191398e-05
7 Musical_Instrument 3.4464113e-06
8 fighter 0.0011247767
9 bait 0.0002112616
10 term 0.00033520279
11 protein 2.8765651e-05
12 suspect 0.025872208
13 lesion 1.5679752e-05
14 poet 1.3751678e-05
15 position 0.000261913
16 department 1.1181365e-05
17 industry 9.901684e-07
18 woman 0.0002404596
19 study 0.00030474432
20 treatment 2.976457e-05
21 factor 3.9430245e-07
22 title 0.0013927858
23 team 0.00040457502
24 text 0.0001492162
25 group 0.0049156696
26 database 8.599081e-05
27 provider 6.481619e-05
28 author 0.0005518997
29 authority 9.589223e-05
30 name 0.0006459893
31 location 4.195397e-05
32 plant 4.473781e-06
33 offer 1.7158305e-05
34 emotion 2.1359401e-06
35 celebrity 0.0015938075
36 game 0.0016526364
37 large_scale 0.0012264906
38 part 1.22582105e-05
39 firm 9.177135e-06
40 scheme 8.491301e-05
41 document 2.0734615e-07
42 material 1.1204261e-06
43 expert 0.00020513595
44 brand 0.000106537715
45 choice 0.00029577658
46 film 0.042490378
47 person 0.00117869
48 master 0.0003389203
49 horse 0.0017252801
50 artist 0.0005899171
51 technology 5.4571214e-05
52 talent 0.0014564041
53 personality 0.00642813
54 equipment 2.3361023e-05
55 word 0.0058405893
56 entity 3.1469783e-05
57 device 4.1181297e-06
58 activity 7.5832673e-07
59 individual 0.003001696
60 event 1.4224694e-06
61 investigation 1.7341926e-06
62 bacterium 5.5716296e-06
63 variation 8.657078e-05
64 specie 7.828712e-06
65 company 7.127707e-06
66 star 0.00072312815
67 section 4.2973174e-05
68 pathology 1.3290676e-05
69 staple 4.3655826e-05
70 community 0.00033375254
71 hit 0.002731872
72 opportunity 7.478587e-05
73 student 0.00027074103
74 act 0.0015465874
75 adjective 0.00018184188
76 Historic_Site 4.2057163e-06
77 supplier 1.4134797e-05
78 service 3.8759413e-06
79 town 0.000179871
80 pattern 0.0004606204
81 dessert 6.559261e-05
82 academic 0.00031333196
83 village 0.00012401646
84 shop 0.0010445182
85 district 0.0003188584
86 work 0.0003207435
87 beach 9.40402e-05
88 destination 0.00012485203
89 attraction 0.000102545295
90 doctrine 7.065733e-05
91 infectious_disease 3.974753e-06
92 competitor 3.90227e-05
93 variety 0.00022578178
94 book 0.00038538576
95 man 0.0032775358
96 champion 0.00078751176
97 story 0.004104591
98 pest 0.00012246467
99 ecosystem 4.116105e-07
100 researcher 7.173148e-05
101 deal 0.0008379594
102 innovation 0.00012793936
103 song 0.012460644
104 festival 7.7744204e-07
105 building 0.00010752997
106 locality 0.00012866841
107 chapter 6.880295e-05
108 critic 0.0005350966
109 classic 0.0017489352
110 professional 0.00041619246
111 reference 9.838579e-05
112 favorite 0.00015135205
113 outfit 0.0019019527
114 chain 0.00052573794
115 participant 0.00016685853
116 symptom 2.0512205e-06
117 class 0.0022959514
118 retailer 0.00011982277
119 municipality 9.674753e-05
120 test 8.488213e-06
121 offense 3.832018e-05
122 band 0.01045559
123 region 7.780482e-06
124 ingredient 3.897057e-06
125 port 4.9515154e-05
126 style 0.001810286
127 vendor 0.000130788
128 site 1.3259798e-05
129 population 0.0023503487
130 sauce 4.587572e-05
131 newspaper 4.27075e-05
132 field 7.2562916e-06
133 performer 0.00070744916
134 organism 1.4337873e-05
135 scene 0.0009995998
136 school 2.5447272e-05
137 prescription_drug 4.6633864e-05
138 development 0.00013092051
139 label 0.009986059
140 complication 4.8559712e-05
141 mineral 2.3613757e-07
142 website 3.0083038e-05
143 hazard 1.6062086e-05
144 keyword 0.00063522544
145 manufacturer 1.7905553e-05
146 neighborhood 0.00013108541
147 character 0.01994287
148 candidate 0.0021446305
149 course 3.5055082e-06
150 dish 4.4134234e-05
151 tool 2.8310971e-05
152 member 0.0034506724
153 sector 1.5960538e-07
154 condition 6.394238e-06
155 unit 7.512102e-05
156 non_invasive 2.6969171e-06
157 great 0.00019109539
158 apps 3.05595e-05
159 employer 2.794653e-06
160 line 0.00017943537
161 club 0.004685561
162 latin_american 0.005524028
163 operation 2.1897495e-05
164 observer 0.00037013384
165 tourist_attraction 8.980633e-05
166 incident 0.00024446112
167 movie 0.0037240451
168 theater 1.484248e-06
169 pitcher 1.6992592e-06
170 road 2.8413562e-05
171 filling 1.5870735e-05
172 process 2.315571e-06
173 boat 0.00016172968
174 opponent 0.002656419
175 patient 0.001924439
176 city 9.075461e-05
177 figure 0.0072698295
178 writer 0.00011261768
179 rival 0.0002169276
180 wildlife 2.8345848e-05
181 instrument 2.2537748e-05
182 decision 0.0002925701
183 music 0.0002247624
184 party 0.00083998597
185 driver 1.1339813e-05
186 pollutant 8.950351e-06
187 meal 6.459947e-05
188 food 8.9929677e-07
189 child 8.416281e-05
190 Organisation 5.6524987e-05
191 type 0.00022336886
