number concept activation
0 file 0.0072511104
1 medication 0.04987482
2 model 0.09671148
3 item -0.033270273
4 health_care 0.010771241
5 snack 0.02317429
6 player 0.08089838
7 Musical_Instrument -0.029456064
8 fighter 0.23439926
9 bait 0.16625997
10 term 0.030581899
11 protein 0.08203901
12 suspect 0.19313104
13 lesion 0.098841205
14 poet 0.14882962
15 position 0.0042679594
16 department 0.0037261934
17 industry 0.050647482
18 woman 0.1630331
19 study 0.011048854
20 treatment 0.01154034
21 factor -0.05909812
22 title 0.05267058
23 team 0.029112525
24 text 0.027163941
25 group 0.07688762
26 database 0.022907173
27 provider 0.0039427993
28 author 0.035161924
29 authority 0.052468397
30 name 0.12974381
31 location -0.055397622
32 plant -0.010571088
33 offer 0.0017833966
34 emotion 0.062096726
35 celebrity 0.15857658
36 game 0.012951846
37 large_scale -0.007453611
38 part 0.0037781403
39 firm 0.056732535
40 scheme 0.120711304
41 document 0.055746693
42 material 0.009237793
43 expert 0.07869063
44 brand 0.09967973
45 choice -0.00889859
46 film 0.1282281
47 person 0.13897975
48 master 0.13850924
49 horse 0.13263102
50 artist 0.12677325
51 technology -0.024394147
52 talent -0.011069597
53 personality 0.11140244
54 equipment -0.010805083
55 word 0.11127937
56 entity 0.11213367
57 device 0.019913897
58 activity 0.014080907
59 individual -0.017622689
60 event -0.101968415
61 investigation 0.09077971
62 bacterium 0.050486162
63 variation 0.10230994
64 specie 0.0940134
65 company 0.045514088
66 star 0.11376161
67 section 0.02267024
68 pathology 0.11694955
69 staple 0.06615628
70 community -0.015381857
71 hit -0.043921567
72 opportunity -0.05553778
73 student 0.058558226
74 act 0.075740345
75 adjective 0.16042672
76 Historic_Site 0.0014255915
77 supplier 0.0482633
78 service -0.046941325
79 town 0.05576538
80 pattern 0.03551964
81 dessert 0.055159688
82 academic 0.06137414
83 village 0.059475593
84 shop 0.068868
85 district 0.030019807
86 work -0.017877268
87 beach 0.0024476724
88 destination -0.0057141846
89 attraction -0.012618485
90 doctrine 0.1162025
91 infectious_disease 0.03456622
92 competitor 0.096692406
93 variety -0.050928913
94 book 0.04476237
95 man 0.27691364
96 champion 0.09941419
97 story 0.07268193
98 pest 0.065932125
99 ecosystem -0.014327085
100 researcher 0.04244546
101 deal 0.025489917
102 innovation -0.027796099
103 song 0.09671258
104 festival -0.050346527
105 building 0.009476168
106 locality 0.12782727
107 chapter 0.08777432
108 critic 0.18041635
109 classic 0.20317471
110 professional 0.0739156
111 reference 0.15790416
112 favorite 0.053574905
113 outfit 0.13913304
114 chain 0.09321487
115 participant 0.0065021575
116 symptom 0.05115241
117 class 0.08900655
118 retailer 0.02734692
119 municipality 0.12563628
120 test -0.08257199
121 offense 0.059304688
122 band 0.09438884
123 region 0.026394492
124 ingredient 0.018065542
125 port 0.07304042
126 style 0.20440465
127 vendor 0.046435904
128 site -0.05939111
129 population 0.037856024
130 sauce 0.15514371
131 newspaper 0.11033951
132 field -0.038597368
133 performer 0.044205755
134 organism 0.046584222
135 scene 0.14010206
136 school -0.012177698
137 prescription_drug 0.085578814
138 development -0.013281075
139 label 0.12951595
140 complication 0.05500083
141 mineral 0.0364391
142 website 0.0022754264
143 hazard -0.0041083763
144 keyword 0.017778901
145 manufacturer 0.055738725
146 neighborhood 0.123679556
147 character 0.2694308
148 candidate 0.13592963
149 course 0.030289294
150 dish 0.04548088
151 tool 0.056063745
152 member 0.08301161
153 sector 0.05863197
154 condition 0.057634845
155 unit 0.06816014
