Concept Precision   Recall  F1  support

file    0.0 0.0 0.0 9
medication  0.6486486486486487  0.6857142857142857  0.6666666666666667  35
model   1.0 0.07142857142857142 0.13333333333333333 14
item    0.6666666666666666  0.15384615384615385 0.25    13
health_care 0.6 0.1875  0.2857142857142857  16
snack   0.6666666666666666  0.16666666666666666 0.26666666666666666 12
player  0.8333333333333334  0.13513513513513514 0.23255813953488372 37
Musical_Instrument  1.0 0.42857142857142855 0.6 14
fighter 0.8947368421052632  0.4594594594594595  0.6071428571428572  37
bait    1.0 0.125   0.2222222222222222  8
term    0.0 0.0 0.0 17
protein 0.3333333333333333  0.09090909090909091 0.14285714285714288 11
suspect 0.0 0.0 0.0 4
lesion  0.36363636363636365 0.21052631578947367 0.26666666666666666 19
poet    0.7692307692307693  0.3448275862068966  0.47619047619047616 29
position    0.6 0.17647058823529413 0.2727272727272727  17
department  1.0 0.07692307692307693 0.14285714285714288 13
industry    1.0 0.23809523809523808 0.3846153846153846  21
woman   0.5 0.05405405405405406 0.0975609756097561  37
study   0.5 0.02127659574468085 0.04081632653061224 47
treatment   0.8 0.3076923076923077  0.4444444444444444  13
factor  0.4 0.2222222222222222  0.2857142857142857  9
title   0.0 0.0 0.0 20
team    0.8947368421052632  0.4857142857142857  0.6296296296296297  35
text    0.0 0.0 0.0 11
group   0.0 0.0 0.0 9
database    1.0 0.1 0.18181818181818182 10
provider    0.0 0.0 0.0 18
author  0.42857142857142855 0.07692307692307693 0.13043478260869565 39
authority   0.0 0.0 0.0 18
name    0.0 0.0 0.0 7
location    0.0 0.0 0.0 14
plant   0.625   0.3333333333333333  0.43478260869565216 15
offer   0.0 0.0 0.0 43
emotion 0.7142857142857143  0.625   0.6666666666666666  8
celebrity   0.5 0.46551724137931033 0.48214285714285715 58
game    0.96    0.6153846153846154  0.7500000000000001  39
large_scale 0.6666666666666666  0.03225806451612903 0.06153846153846154 62
part    0.6666666666666666  0.25    0.36363636363636365 8
firm    1.0 0.09523809523809523 0.17391304347826084 21
scheme  0.3333333333333333  0.0625  0.10526315789473684 16
document    0.25    0.2 0.22222222222222224 5
material    0.6666666666666666  0.42857142857142855 0.5217391304347826  14
expert  0.25    0.018867924528301886    0.03508771929824561 53
brand   0.75    0.07894736842105263 0.14285714285714285 38
choice  0.0 0.0 0.0 29
film    0.5 0.15    0.23076923076923075 40
person  0.0 0.0 0.0 15
master  1.0 0.09090909090909091 0.16666666666666669 22
horse   0.5 0.15    0.23076923076923075 20
artist  0.5681818181818182  0.35714285714285715 0.4385964912280702  70
technology  0.0 0.0 0.0 18
talent  0.0 0.0 0.0 15
personality 0.0 0.0 0.0 27
equipment   0.5 0.2222222222222222  0.30769230769230765 18
word    1.0 0.041666666666666664    0.07999999999999999 24
entity  0.0 0.0 0.0 13
device  0.0 0.0 0.0 8
activity    0.25    0.07692307692307693 0.11764705882352941 13
individual  0.0 0.0 0.0 12
event   0.6666666666666666  0.26666666666666666 0.3809523809523809  15
investigation   0.0 0.0 0.0 10
bacterium   0.4444444444444444  0.4444444444444444  0.4444444444444444  9
variation   0.0 0.0 0.0 10
specie  0.6666666666666666  0.13793103448275862 0.2285714285714286  29
company 0.5 0.24    0.32432432432432434 25
star    0.5263157894736842  0.22727272727272727 0.31746031746031744 44
section 0.0 0.0 0.0 15
pathology   0.0 0.0 0.0 12
staple  0.0 0.0 0.0 7
community   0.0 0.0 0.0 6
hit 0.0 0.0 0.0 27
opportunity 0.0 0.0 0.0 10
student 1.0 0.05263157894736842 0.1 19
act 0.16666666666666666 0.05555555555555555 0.08333333333333333 18
adjective   0.2727272727272727  0.09375 0.13953488372093023 32
Historic_Site   0.0 0.0 0.0 11
supplier    0.0 0.0 0.0 15
service 0.3333333333333333  0.09090909090909091 0.14285714285714288 11
town    0.5 0.23076923076923078 0.3157894736842105  78
pattern 0.0 0.0 0.0 15
dessert 0.65    0.3333333333333333  0.4406779661016949  39
academic    0.0 0.0 0.0 13
village 0.55    0.2222222222222222  0.3165467625899281  99
shop    0.0 0.0 0.0 12
district    0.7868852459016393  0.6153846153846154  0.6906474820143885  78
work    0.0 0.0 0.0 6
beach   1.0 0.06451612903225806 0.12121212121212122 31
destination 0.0 0.0 0.0 29
attraction  0.5 0.05555555555555555 0.09999999999999999 18
doctrine    0.3333333333333333  0.1111111111111111  0.16666666666666666 9
infectious_disease  0.5 0.0625  0.1111111111111111  16
competitor  0.0 0.0 0.0 21
variety 0.6666666666666666  0.11764705882352941 0.2 17
book    0.0 0.0 0.0 11
man 0.0 0.0 0.0 22
champion    0.5 0.034482758620689655    0.06451612903225806 29
story   1.0 0.05555555555555555 0.10526315789473684 18
pest    0.5833333333333334  0.30434782608695654 0.4 23
ecosystem   1.0 0.13333333333333333 0.23529411764705882 15
researcher  0.0 0.0 0.0 72
deal    0.7 0.21875 0.3333333333333333  64
innovation  0.0 0.0 0.0 11
song    0.6666666666666666  0.09523809523809523 0.16666666666666666 21
festival    0.8181818181818182  0.42857142857142855 0.5625  42
building    0.0 0.0 0.0 9
locality    0.5 0.034482758620689655    0.06451612903225806 29
chapter 0.0 0.0 0.0 9
critic  1.0 0.037037037037037035    0.07142857142857142 27
classic 0.0 0.0 0.0 22
professional    0.6666666666666666  0.14285714285714285 0.23529411764705882 14
reference   0.0 0.0 0.0 6
favorite    0.0 0.0 0.0 24
outfit  0.0 0.0 0.0 9
chain   0.0 0.0 0.0 11
participant 0.0 0.0 0.0 15
symptom 0.8333333333333334  0.43478260869565216 0.5714285714285714  23
class   0.0 0.0 0.0 13
retailer    0.6 0.35294117647058826 0.4444444444444445  17
municipality    0.5 0.10810810810810811 0.17777777777777778 37
test    0.3333333333333333  0.08333333333333333 0.13333333333333333 12
offense 0.6 0.375   0.4615384615384615  16
band    0.85    0.32075471698113206 0.4657534246575342  53
region  0.7058823529411765  0.3870967741935484  0.5 31
ingredient  0.4 0.14285714285714285 0.21052631578947364 14
port    0.375   0.1111111111111111  0.17142857142857143 27
style   0.6 0.15789473684210525 0.25    19
vendor  0.25    0.26666666666666666 0.2580645161290323  15
